"Year","Country","exF"
1994,"Japan",82.9159484346026
1995,"Japan",82.7977798926529
1996,"Japan",83.5254055983214
1997,"Japan",83.7577711484307
1998,"Japan",83.9420663033245
1999,"Japan",83.9359133123332
2000,"Japan",84.5500329815245
2001,"Japan",84.875897538839
2002,"Japan",85.1778781364514
2003,"Japan",85.2825385768451
2004,"Japan",85.5323496457748
2005,"Japan",85.4504317120272
2006,"Japan",85.7393814200785
2007,"Japan",85.9184947707325
2008,"Japan",85.9836698608639
2009,"Japan",86.3667348742415
2010,"Japan",86.2745996083811
2011,"Japan",85.8958385688743
2012,"Japan",86.4031852565387
2013,"Japan",86.5998329216592
2014,"Japan",86.8207559860848
2015,"Japan",87.0248580839607
2016,"Japan",87.1835084898648
2017,"Japan",87.3194404692699
