"Age","Year","Country","RMI"
73,1960,"France",0.027561997017725
74,1960,"France",0.0288225883308733
75,1960,"France",0.0278910374126731
76,1960,"France",0.0289099714075385
77,1960,"France",0.0271894558302633
78,1960,"France",0.0254514580193745
79,1960,"France",0.0255399917442766
80,1960,"France",0.0275648989648409
81,1960,"France",0.0238892965287028
82,1960,"France",0.0244689721182011
83,1960,"France",0.0249941207323859
84,1960,"France",0.0207935672118605
85,1960,"France",0.0238531985741765
86,1960,"France",0.0209835424566509
87,1960,"France",0.0205385225360553
88,1960,"France",0.0221937004045099
89,1960,"France",0.0258892063410556
90,1960,"France",0.0202111318843695
91,1960,"France",0.0179931473687414
92,1960,"France",0.017280124740185
93,1960,"France",0.0152891185951094
94,1960,"France",0.0118396303471471
95,1960,"France",0.0151462427109603
96,1960,"France",0.0112635927505386
97,1960,"France",0.0177477985519999
98,1960,"France",0.0103307856455725
99,1960,"France",0.0323881905633646
100,1960,"France",-0.0164755390558471
101,1960,"France",-0.0264964339014616
102,1960,"France",-0.04
103,1960,"France",-0.04
104,1960,"France",0.0253016417905845
105,1960,"France",0.04
106,1960,"France",0.04
107,1960,"France",0.0347943715061928
108,1960,"France",0.00745343879590396
109,1960,"France",0.00687561524766778
110,1960,"France",0.00632682063077777
0,1961,"France",0.04
1,1961,"France",0.04
2,1961,"France",0.04
3,1961,"France",0.04
4,1961,"France",0.04
5,1961,"France",0.0289666638290378
6,1961,"France",0.0229562900045277
7,1961,"France",0.0132209516063541
8,1961,"France",0.0207010552541976
9,1961,"France",0.0223348283274434
10,1961,"France",0.0194595770816092
11,1961,"France",0.04
12,1961,"France",-0.0116968567101252
13,1961,"France",0.0312528657611996
14,1961,"France",0.0263588099196893
15,1961,"France",0.0237498393587916
16,1961,"France",0.0392080451107178
17,1961,"France",0.0318473777992571
18,1961,"France",0.0140902871986861
19,1961,"France",0.0131766422619482
20,1961,"France",0.0351296005999964
21,1961,"France",0.0248213671077641
22,1961,"France",0.04
23,1961,"France",0.04
24,1961,"France",0.04
25,1961,"France",0.04
26,1961,"France",0.04
27,1961,"France",0.04
28,1961,"France",0.04
29,1961,"France",0.04
30,1961,"France",0.0398328812980327
31,1961,"France",0.0345132579301767
32,1961,"France",0.0382680305224933
33,1961,"France",0.0382003862435819
34,1961,"France",0.04
35,1961,"France",0.0392444185229023
36,1961,"France",0.0149418225384047
37,1961,"France",0.0355452759756756
38,1961,"France",0.0292667542707969
39,1961,"France",0.0195378116170247
40,1961,"France",0.0267907345444338
41,1961,"France",0.0230063273862916
42,1961,"France",0.0374696746737735
43,1961,"France",0.0241598126958171
44,1961,"France",0.0298192503995673
45,1961,"France",0.0269609740502188
46,1961,"France",0.0216188597851085
47,1961,"France",0.0199117302182674
48,1961,"France",0.0221915129053459
49,1961,"France",0.0217155554372837
50,1961,"France",0.0246274170200082
51,1961,"France",0.0241961685207318
52,1961,"France",0.026503482101198
53,1961,"France",0.0258537196321467
54,1961,"France",0.028102475497018
55,1961,"France",0.0209424000383696
56,1961,"France",0.0207843080049519
57,1961,"France",0.0191067834435297
58,1961,"France",0.023348320501332
59,1961,"France",0.0206838798991151
60,1961,"France",0.0178920706421802
61,1961,"France",0.0161485278945042
62,1961,"France",0.0163033882941304
63,1961,"France",0.0166323996105004
64,1961,"France",0.0192971907088058
65,1961,"France",0.0172488163090543
66,1961,"France",0.0199972188987355
67,1961,"France",0.0161755989338785
68,1961,"France",0.0173935026692874
69,1961,"France",0.0179503329237765
70,1961,"France",0.0158777158076812
71,1961,"France",0.0154456203460274
72,1961,"France",0.0181575957361262
73,1961,"France",0.0164878991316889
74,1961,"France",0.0139473812001967
75,1961,"France",0.00805321155683423
76,1961,"France",0.00922412544651459
77,1961,"France",0.0101249311423778
78,1961,"France",0.00951176815606588
79,1961,"France",0.00756860699589458
80,1961,"France",0.00658133063364169
81,1961,"France",0.00471624282316605
82,1961,"France",0.00677417397195179
83,1961,"France",0.00230166324756201
84,1961,"France",2.82043653458963e-05
85,1961,"France",0.00429274393394377
86,1961,"France",-0.000684826162093943
87,1961,"France",-0.00406222003853199
88,1961,"France",0.00220124407543787
89,1961,"France",0.000957678126968353
90,1961,"France",-0.00193438966553205
91,1961,"France",-0.00201520291877327
92,1961,"France",-0.00730906610025869
93,1961,"France",-0.00387441713874206
94,1961,"France",0.000743010124747012
95,1961,"France",-0.00230924577948687
96,1961,"France",0.00477906819287804
97,1961,"France",-0.0136595050534645
98,1961,"France",-0.0101963610253978
99,1961,"France",0.0367487044570801
100,1961,"France",-0.04
101,1961,"France",0.0017932673850764
102,1961,"France",-0.04
103,1961,"France",-0.04
104,1961,"France",-0.03169927674398
105,1961,"France",-0.04
106,1961,"France",-0.04
107,1961,"France",-0.04
108,1961,"France",-0.00310915094985549
109,1961,"France",-0.00294613048681688
110,1961,"France",-0.00278083597022998
0,1962,"France",0.04
1,1962,"France",0.04
2,1962,"France",0.04
3,1962,"France",0.0370427084842647
4,1962,"France",0.04
5,1962,"France",0.027268859407799
6,1962,"France",0.00876392439953465
7,1962,"France",0.020536877680663
8,1962,"France",-0.00820592584256455
9,1962,"France",0.0297107857034008
10,1962,"France",0.0209681178019726
11,1962,"France",0.0144223623626746
12,1962,"France",0.0392604965295401
13,1962,"France",0.0101706648994164
14,1962,"France",0.0269487783319447
15,1962,"France",0.0289546765178883
16,1962,"France",0.0243755092255503
17,1962,"France",0.015778618861787
