"","location_id","location_name","sex_id","sex_name","age_group_id","age_group_name","year_id","measure_id","measure_name","metric_id","metric_name","val","upper","lower"
"27202",67,"Japan",2,"female",28,"<1 year",2003,26,"Life expectancy",5,"Years",85.6767369291447,85.7247846195899,85.6280033946058
"27204",67,"Japan",3,"both",28,"<1 year",2003,26,"Life expectancy",5,"Years",82.2977866643141,82.3334302255884,82.263580950965
"27206",67,"Japan",1,"male",28,"<1 year",2004,26,"Life expectancy",5,"Years",78.9580889660089,79.0068756304752,78.9130793576078
"27208",67,"Japan",2,"female",28,"<1 year",2004,26,"Life expectancy",5,"Years",85.7735589064824,85.8234726707915,85.7208057585545
"27210",67,"Japan",3,"both",28,"<1 year",2004,26,"Life expectancy",5,"Years",82.4595972563811,82.4959766836307,82.425175266063
"27212",67,"Japan",1,"male",28,"<1 year",2005,26,"Life expectancy",5,"Years",79.0049190996019,79.0516602142466,78.9516023039059
"27214",67,"Japan",2,"female",28,"<1 year",2005,26,"Life expectancy",5,"Years",85.8373277863694,85.8828303333823,85.7871490127584
"27216",67,"Japan",3,"both",28,"<1 year",2005,26,"Life expectancy",5,"Years",82.5041882486655,82.5426147801092,82.4677162650805
"27218",67,"Japan",1,"male",28,"<1 year",2006,26,"Life expectancy",5,"Years",79.3051259231772,79.3510205763115,79.2573358987354
"27220",67,"Japan",2,"female",28,"<1 year",2006,26,"Life expectancy",5,"Years",86.0187056613225,86.0697524783416,85.9669366964891
"27222",67,"Japan",3,"both",28,"<1 year",2006,26,"Life expectancy",5,"Years",82.7470095360872,82.7847372999838,82.7090010822408
"27224",67,"Japan",1,"male",28,"<1 year",2007,26,"Life expectancy",5,"Years",79.5127327973138,79.5623952625509,79.4632065543566
"27226",67,"Japan",2,"female",28,"<1 year",2007,26,"Life expectancy",5,"Years",86.1926497271113,86.2433513409725,86.1433542165233
"27228",67,"Japan",3,"both",28,"<1 year",2007,26,"Life expectancy",5,"Years",82.9338358841223,82.9711606040751,82.8949887723396
"27230",67,"Japan",1,"male",28,"<1 year",2008,26,"Life expectancy",5,"Years",79.69491217426,79.7448676718096,79.6444440059943
"27232",67,"Japan",2,"female",28,"<1 year",2008,26,"Life expectancy",5,"Years",86.3297264776535,86.3805974040819,86.2790817286921
"27234",67,"Japan",3,"both",28,"<1 year",2008,26,"Life expectancy",5,"Years",83.0897496220977,83.1278925356574,83.051533487164
"27236",67,"Japan",1,"male",28,"<1 year",2009,26,"Life expectancy",5,"Years",79.8682719634023,79.9167915526802,79.8179228844568
"27238",67,"Japan",2,"female",28,"<1 year",2009,26,"Life expectancy",5,"Years",86.5228940334035,86.5747860434518,86.4709722438881
"27240",67,"Japan",3,"both",28,"<1 year",2009,26,"Life expectancy",5,"Years",83.2673685020197,83.3044939830045,83.2289188606416
"27242",67,"Japan",1,"male",28,"<1 year",2010,26,"Life expectancy",5,"Years",79.9792738433408,80.0307674307974,79.9297173577018
"27244",67,"Japan",2,"female",28,"<1 year",2010,26,"Life expectancy",5,"Years",86.5676383444746,86.6151851604032,86.51850202484
"27246",67,"Japan",3,"both",28,"<1 year",2010,26,"Life expectancy",5,"Years",83.3384715352493,83.3748822987217,83.302046518292
"27248",67,"Japan",1,"male",28,"<1 year",2011,26,"Life expectancy",5,"Years",79.9460619205564,79.9996419457166,79.8928527187701
"27250",67,"Japan",2,"female",28,"<1 year",2011,26,"Life expectancy",5,"Years",86.3568099789727,86.4094403150645,86.3010593033105
"27252",67,"Japan",3,"both",28,"<1 year",2011,26,"Life expectancy",5,"Years",83.2083330912926,83.2475121522886,83.1632668541872
"27254",67,"Japan",1,"male",28,"<1 year",2012,26,"Life expectancy",5,"Years",80.4036549610478,80.4544774306861,80.3531577393864
"27256",67,"Japan",2,"female",28,"<1 year",2012,26,"Life expectancy",5,"Years",86.7341569538384,86.7837815906986,86.6816740049611
"27258",67,"Japan",3,"both",28,"<1 year",2012,26,"Life expectancy",5,"Years",83.627270034519,83.6626135718537,83.5882573820125
"27260",67,"Japan",1,"male",28,"<1 year",2013,26,"Life expectancy",5,"Years",80.6949017909212,80.7462161817132,80.6422563080405
"27262",67,"Japan",2,"female",28,"<1 year",2013,26,"Life expectancy",5,"Years",86.9194109024112,86.9695413003268,86.868155992604
"27264",67,"Japan",3,"both",28,"<1 year",2013,26,"Life expectancy",5,"Years",83.8638063572297,83.9002065973548,83.825091237895
"27266",67,"Japan",1,"male",28,"<1 year",2014,26,"Life expectancy",5,"Years",80.9952254009009,81.0490300391641,80.940749154295
"27268",67,"Japan",2,"female",28,"<1 year",2014,26,"Life expectancy",5,"Years",87.0954840467968,87.1514640083218,87.0423696093699
"27270",67,"Japan",3,"both",28,"<1 year",2014,26,"Life expectancy",5,"Years",84.1024655343581,84.1401331461486,84.0626493631206
"27272",67,"Japan",1,"male",28,"<1 year",2015,26,"Life expectancy",5,"Years",81.261304659614,81.3133606404421,81.2106421433512
"27274",67,"Japan",2,"female",28,"<1 year",2015,26,"Life expectancy",5,"Years",87.328705514759,87.3807571118689,87.2743573966594
"27276",67,"Japan",3,"both",28,"<1 year",2015,26,"Life expectancy",5,"Years",84.3498185303028,84.3897491502043,84.3131706080164
"27278",67,"Japan",1,"male",28,"<1 year",2016,26,"Life expectancy",5,"Years",81.4616215454786,81.5149154849501,81.4054348872373
"27280",67,"Japan",2,"female",28,"<1 year",2016,26,"Life expectancy",5,"Years",87.4422137352806,87.495029395278,87.3884607574226
"27282",67,"Japan",3,"both",28,"<1 year",2016,26,"Life expectancy",5,"Years",84.5037123904871,84.5412009850964,84.4620367615213
"27284",67,"Japan",1,"male",28,"<1 year",2017,26,"Life expectancy",5,"Years",81.7442801905211,81.8063977912553,81.682446979207
"27286",67,"Japan",2,"female",28,"<1 year",2017,26,"Life expectancy",5,"Years",87.6420869201798,87.7028282296361,87.5790970935086
"27288",67,"Japan",3,"both",28,"<1 year",2017,26,"Life expectancy",5,"Years",84.7433932974478,84.7889019555738,84.695866521326
"27290",67,"Japan",1,"male",28,"<1 year",2018,26,"Life expectancy",5,"Years",81.8184282189211,81.93441245909,81.7022889883629
"27292",67,"Japan",2,"female",28,"<1 year",2018,26,"Life expectancy",5,"Years",87.6436065963019,87.7423904720981,87.5462928440093
"27294",67,"Japan",3,"both",28,"<1 year",2018,26,"Life expectancy",5,"Years",84.7762581520307,84.8560267914952,84.6981852727542
"27296",67,"Japan",1,"male",28,"<1 year",2019,26,"Life expectancy",5,"Years",81.8633513660667,82.0184063513023,81.7059162200398
"27298",67,"Japan",2,"female",28,"<1 year",2019,26,"Life expectancy",5,"Years",87.6587061268453,87.7837496140719,87.5272449519599
"27300",67,"Japan",3,"both",28,"<1 year",2019,26,"Life expectancy",5,"Years",84.8017785090002,84.9055411948345,84.6961509143807
"27962",69,"Singapore",1,"male",28,"<1 year",1990,26,"Life expectancy",5,"Years",72.8832993008636,73.0432773903876,72.7359601893535
"27964",69,"Singapore",2,"female",28,"<1 year",1990,26,"Life expectancy",5,"Years",78.3608885115282,78.5291248267296,78.1853744039224
"27966",69,"Singapore",3,"both",28,"<1 year",1990,26,"Life expectancy",5,"Years",75.6100186144599,75.7362787633241,75.4924525208697
"27968",69,"Singapore",1,"male",28,"<1 year",1991,26,"Life expectancy",5,"Years",73.2166496660454,73.3748873816772,73.0598245406228
"27970",69,"Singapore",2,"female",28,"<1 year",1991,26,"Life expectancy",5,"Years",79.0432341975253,79.2164298837081,78.872907626793
"27972",69,"Singapore",3,"both",28,"<1 year",1991,26,"Life expectancy",5,"Years",76.1015366830408,76.2212142304621,75.9775022243508
"27974",69,"Singapore",1,"male",28,"<1 year",1992,26,"Life expectancy",5,"Years",73.7457345533885,73.9082567461754,73.5930126800139
"27976",69,"Singapore",2,"female",28,"<1 year",1992,26,"Life expectancy",5,"Years",79.3240882852073,79.4872165935622,79.1679589605122
"27978",69,"Singapore",3,"both",28,"<1 year",1992,26,"Life expectancy",5,"Years",76.5171491084851,76.6352911257549,76.4064789242355
"27980",69,"Singapore",1,"male",28,"<1 year",1993,26,"Life expectancy",5,"Years",74.1570650001018,74.3298141937022,73.9821972273005
"27982",69,"Singapore",2,"female",28,"<1 year",1993,26,"Life expectancy",5,"Years",79.5230204062916,79.678306468653,79.3599644626798
"27984",69,"Singapore",3,"both",28,"<1 year",1993,26,"Life expectancy",5,"Years",76.8314489571797,76.9585995408265,76.7071812335705
